date,S1.5,S2.5,S3.5,S5.5,S6.5,N1.5,N2.5,N3.5,N4.5,N5.5,S1.14,S2.14,S3.14,S5.14,S6.14,N1.14,N2.14,N3.14,N4.14,N5.14,S1.30,S2.30,S3.30,S5.30,S6.30,N1.30,N2.30,N3.30,N4.30,N5.30
2023-01-19,0.011214313310907366,0.0334189197018545,0.04752113597897254,0.05432150616655496,0.1224683634630123,0.019403046115570463,0.011661709444235337,0.016547061322529328,0.020388016742209636,0.10525438138243536,0.017167744978169936,0.050853072486800106,0.07203315465440108,0.08218690705021797,0.1817609509030742,0.029638060717162726,0.017850501195237078,0.02529509583130286,0.03113429116173618,0.15698582879292322,0.005802601157369233,0.017386643599244182,0.02481067811229775,0.028409704192591777,0.06519190722312038,0.010059827200286177,0.006034755459392055,0.008573087147932179,0.01057305927421751,0.05577385934764988
2023-01-20,0.011325618770496152,0.03374681592510285,0.047983927620822944,0.054848597038145,0.1236119862531025,0.019594818121542183,0.011777428945725272,0.016710846994101435,0.020589421229402757,0.10624714206526481,0.01733761996464828,0.051347429783022196,0.07272539186497547,0.08297228777281664,0.18339775781505394,0.029929437209646446,0.01802706990560499,0.025544339959665673,0.031440137692014626,0.15842164757812927,0.0058603529204603,0.017558665182856713,0.025055210657122667,0.028689183872577746,0.06582075569432934,0.010159732993507021,0.006094810703286783,0.008658292530123405,0.01067803451781787,0.05631461885284418
2023-01-21,0.01143802256834751,0.03407787231845452,0.04845111062931387,0.055380651157080844,0.12476551195175355,0.019788466336356992,0.01189428981172431,0.016876239894446116,0.020792794114843416,0.10724869447146627,0.017509160847909117,0.051846460424485756,0.07342401487137076,0.08376482604819736,0.18504757996579033,0.030223633427140042,0.01820536891246305,0.025796007361431856,0.03174893919717117,0.15986931656275308,0.005918677759012814,0.017732373325917497,0.02530212189775245,0.02897137173030522,0.06645545197553313,0.01026062581660322,0.006155461738177266,0.008744341003373703,0.010784046323954802,0.05686046189720438
2023-01-22,0.011551535414433068,0.034412118201046345,0.04892272437417643,0.055917712255016204,0.1259290110893299,0.01998400873230484,0.012012303161113827,0.017043255516239187,0.02099815421279158,0.10825910520610704,0.0176823836643606,0.05235020595730118,0.07412907730339177,0.08456458023825446,0.18671048744282295,0.030520675761920787,0.018385414847220113,0.026050120944897087,0.03206072323955198,0.16132890858934726,0.00597758132537495,0.017907784255952627,0.025551434345771906,0.029256293185894733,0.06709604612240039,0.010362515317880263,0.00621671443760871,0.008831240834984048,0.010891104814058123,0.057411433103370955
2023-01-23,0.011666168120586398,0.03474958314120132,0.04939880853194365,0.05645982438861082,0.12710255439067739,0.02018146344613593,0.01213148021831149,0.01721190949589776,0.021205520508838623,0.10927844115184916,0.017857304598755955,0.05285870824406568,0.07484063313513398,0.08537160904256827,0.1883865500257123,0.03082059083533857,0.018567224494629327,0.026306703821839486,0.03237551761877516,0.16280049643973593,0.006037069326956355,0.018084914350443414,0.025803170713227807,0.02954397388157223,0.06774258853217077,0.01046541123788704,0.006278574732285157,0.008919000371820888,0.010999220206101348,0.05796757742208891
2023-01-24,0.011781931601419876,0.035090296958078915,0.04987940308738421,0.05700703194068751,0.12828621276850696,0.020380848780409543,0.012251832314216823,0.017382217614800535,0.02141491216129509,0.11030676946501666,0.018033939985443614,0.05337200946517464,0.07555873668493397,0.08618597149737632,0.19007583716803184,0.031123405499437366,0.018750814794070005,0.026565779309060674,0.032693350373368096,0.16428415282205117,0.006097147526750704,0.018263780138086914,0.026057353914157845,0.029834439683273307,0.0683951299441503,0.010569323410256145,0.006341048610610835,0.009007628041051713,0.011108402815476587,0.05852894013329097
2023-01-25,0.011898836875248718,0.03543428972332565,0.050364548334920475,0.05755937962136168,0.1294800573165866,0.02058218320485056,0.012373370887164033,0.01755419580051602,0.021626348502585952,0.11134415757151832,0.01821230630962535,0.053890152120112236,0.07628344261525866,0.0870077269744584,0.19177841797901862,0.03142914683858006,0.018936202840837316,0.026827370929932703,0.03301424978240719,0.16577995035748394,0.0061578217438628124,0.01844439830006429,0.0263140070661256,0.030127716682251043,0.06905372144016032,0.010674261762550673,0.006404142119236137,0.009097132350886576,0.011218663055876179,0.059095566847152066
2023-01-26,0.012016895065022399,0.03578159176272682,0.050854284880031124,0.05811691246914549,0.13068415930273988,0.020785485357714004,0.012496107483882362,0.01772786012803895,0.021839849040653732,0.11239067316262548,0.018392420208622643,0.05441317902872171,0.07701480593253382,0.08783693517993803,0.19349436120488292,0.031737842171077106,0.019123405887440232,0.027091502415951253,0.033338244367160264,0.16728796156674938,0.006219097854040631,0.018626785671317467,0.026573153491761998,0.030423831196688837,0.06971841444494002,0.010780236317118178,0.006467861363608652,0.009187521891326074,0.011330011440181512,0.0596675035051151
2023-01-27,0.01213611739926309,0.0361322336578576,0.05134865364063611,0.058679675852022786,0.13189859016164426,0.02099077404715693,0.012620053760463603,0.017903226821034453,0.022055433460368756,0.11344638419059856,0.018574298473150667,0.054941133332452645,0.07775288198690762,0.08867365615299391,0.1952237352097676,0.03204951905081779,0.01931244134490705,0.027358197708294108,0.03366536289273046,0.1688082588562574,0.0062809817902118115,0.01881095924183339,0.026834816720312318,0.030722809773316366,0.07038926072649924,0.01088725719195117,0.006532212508528899,0.009278805334915327,0.01144245858135881,0.060244796380885444
2023-01-28,0.012256515213011585,0.0364862462477345,0.05184769584846485,0.05924771546849676,0.13312342148743028,0.021198068252618354,0.012745221483337168,0.018080312253090397,0.022273121624947236,0.11451135886416305,0.018757958048600545,0.05547405849558629,0.07849772647194996,0.08951795026448399,0.19696660795636026,0.03236420526890482,0.019503326784099072,0.027627480959385622,0.03399563436970241,0.1703409145039902,0.0063434795430252384,0.018996936157936493,0.027099020489189413,0.031024679189030256,0.07106631239642205,0.01099533460155484,0.00659720177871118,0.009370991437504524,0.011556015193362098,0.060827492081394895
2023-01-29,0.012378099948780441,0.03684366063046619,0.052351453050405956,0.05982107734860652,0.13435872502607502,0.021407387126206667,0.012871622530252569,0.018259132948977658,0.022492933577376608,0.11558566564383006,0.018943416036329423,0.05601199830643694,0.07924939542428493,0.09036987821547546,0.19872304698615129,0.03268192885529158,0.01969607993703209,0.02789937653446659,0.03432908805578978,0.1718860006450804,0.006406597161397203,0.01918473372358903,0.027365788745532547,0.031329466452517496,0.07174962191011874,0.011104478857821426,0.006662835459349219,0.009464089039015525,0.0116706920920431,0.06141563754773294
2023-01-30,0.012618483054215882,0.03755003775815256,0.053346817569302846,0.06095384057092551,0.13679629045879926,0.021821171977751297,0.013121526044385753,0.018612645227605935,0.022927454216846718,0.11770621303524842,0.019310045877050788,0.057074843088398386,0.08073397513817504,0.09205217316716034,0.20218500742993203,0.03330990277785559,0.020077127206104748,0.02843681136234488,0.03498813566094189,0.17493285829745708,0.00653139699571501,0.019555987306207282,0.02789309305871099,0.03193188439101652,0.07309934975816719,0.01132027019537933,0.006792609706158587,0.009648158696573256,0.011897420219270092,0.0625775789656278
